winner,pass_stat_f1,pass_stat_f2,str_stat_f1,str_stat_f2,sub_stat_f1,sub_stat_f2,td_stat_f1,td_stat_f2
Tim Lajcik,0,2,12,14,0,2,0,2
Jeremy Horn,0,0,3,1,1,0,0,1
Brad Kohler,0,0,3,0,0,0,1,0
Chuck Liddell,0,0,13,5,0,0,0,0
Matt Hughes,1,0,77,7,0,1,5,0
John Lewis,0,0,20,9,0,0,1,0
Jens Pulver,0,0,48,34,1,0,0,1
Kevin Randleman,0,1,10,8,2,1,6,0
Pedro Rizzo,0,0,14,14,0,0,0,0
Kenichi Yamamoto,0,0,1,27,1,0,0,2
Joe Slick,1,0,2,1,0,0,1,0
Eugene Jackson,0,0,22,14,0,0,0,0
Kenichi Yamamoto,0,0,20,5,0,0,0,0
Katsuhisa Fujii,0,0,18,18,0,0,0,1
Maurice Smith,1,1,4,1,0,2,0,1
Tito Ortiz,2,0,20,10,0,0,4,0
Pat Miletich,0,0,13,10,0,0,0,0
Jeremy Horn,2,0,35,0,0,0,0,0
Murilo Bustamante,7,0,11,0,1,0,4,0
Sanae Kikuta,2,0,8,4,2,1,2,0
Ron Waterman,4,0,51,6,1,1,3,0
Paul Jones,2,1,21,1,2,0,0,0
Tsuyoshi Kohsaka,1,4,11,12,3,0,0,0
Eugene Jackson,0,2,21,11,1,0,0,2
Ikuhisa Minowa,2,2,3,8,0,4,3,0
Laverne Clark,0,2,13,1,0,0,0,3
Andre Roberts,0,0,10,22,0,0,0,0
Kevin Randleman,1,0,17,12,2,0,2,0
Tyrone Roberts,0,0,16,10,0,0,1,0
Pat Miletich,2,0,9,1,1,2,2,0
Amaury Bitetti,0,0,6,12,0,0,0,0
Matt Hughes,0,0,18,2,0,0,2,0
Jens Pulver,0,0,4,5,0,0,0,1
Pedro Rizzo,0,0,2,0,0,0,0,0
Maurice Smith,0,3,43,10,0,0,0,4
Jeremy Horn,3,0,2,2,1,0,1,0
Fabiano Iha,0,0,1,1,2,0,1,0
Yuki Kondo,1,4,33,14,0,0,0,2
Ian Freeman,0,1,30,25,0,0,0,1
Jeff Monson,2,0,31,5,0,0,1,0
Brad Gumm,1,0,18,28,0,0,0,1
Tito Ortiz,0,0,35,3,0,0,1,0
BJ Penn,0,0,6,1,0,0,0,1
Josh Barnett,2,0,10,1,1,0,1,0
Randy Couture,1,0,41,13,0,0,3,1
Pat Miletich,2,0,10,14,0,0,1,0
Caol Uno,0,0,8,6,0,1,2,0
Vladimir Matyushenko,4,0,17,1,0,0,3,0
Ricco Rodriguez,5,0,26,4,1,1,5,0
Matt Hughes,1,1,8,2,1,1,4,0
BJ Penn,0,0,5,0,0,0,1,0
Tito Ortiz,2,0,64,19,0,0,5,1
Jens Pulver,0,0,27,15,1,3,0,2
Ricco Rodriguez,6,0,30,11,1,0,2,0
Tony DeSouza,0,0,1,2,2,0,0,0
Josh Barnett,5,2,17,6,1,1,2,1
Evan Tanner,0,3,4,4,4,0,0,2
Matt Lindland,7,1,71,32,0,2,4,0
Chuck Liddell,0,0,27,15,0,0,0,2
Matt Serra,6,0,9,9,3,0,3,0
Dave Menne,2,2,70,9,4,0,1,7
Randy Couture,2,0,69,42,0,0,3,0
Carlos Newton,1,1,14,28,1,0,4,0
Jens Pulver,3,2,38,49,0,2,1,7
Ricco Rodriguez,3,0,42,7,1,0,3,2
Frank Mir,1,0,3,1,1,0,0,0
Jutaro Nakao,0,0,8,1,0,0,0,0
Ricardo Almeida,2,0,4,1,1,2,1,2
Din Thomas,1,1,42,19,0,2,1,2
Chuck Liddell,0,0,3,0,0,0,0,0
Shonie Carter,0,5,18,10,0,3,2,2
Semmy Schilt,0,2,15,6,0,0,0,1
Murilo Bustamante,1,0,9,14,0,0,2,0
Chuck Liddell,0,0,46,26,0,0,0,0
Andrei Semenov,0,0,5,12,0,5,0,1
Matt Lindland,1,0,22,9,0,0,5,0
BJ Penn,5,0,22,3,0,0,2,0
Tony DeSouza,3,1,28,2,0,3,5,0
Kevin Randleman,3,0,18,2,0,5,1,0
Gil Castillo,0,0,17,8,0,1,3,0
Eugene Jackson,0,4,1,6,1,2,0,2
Josh Barnett,1,3,44,18,1,0,0,1
Pedro Rizzo,0,0,27,38,0,0,0,0
Matt Hughes,12,0,36,5,0,0,9,0
Matt Lindland,2,0,20,1,0,0,1,0
Evan Tanner,0,0,7,4,0,0,0,0
Frank Mir,0,0,4,0,1,0,0,1
Matt Serra,4,0,2,0,3,0,1,0
Sean Sherk,4,0,21,4,0,0,7,0
Chuck Liddell,0,2,43,20,0,0,0,3
Benji Radach,1,1,26,0,0,2,0,1
Pete Spratt,0,0,3,2,1,0,0,1
Robbie Lawler,1,0,28,11,0,0,1,1
Tony Fryklund,3,0,60,11,1,0,0,0
Yves Edwards,0,0,6,1,0,0,0,0
Matt Hughes,12,1,58,3,1,1,4,0
Ian Freeman,0,0,34,6,0,3,0,1
Mark Weir,0,0,4,0,0,0,0,0
Genki Sudo,2,0,9,5,3,0,2,0
Phillip Miller,9,0,30,29,0,1,4,0
Renato Sobral,0,0,42,7,0,0,4,0
Evan Tanner,5,0,70,14,0,2,3,0
Ricco Rodriguez,3,3,39,39,1,0,4,5
Tim Sylvia,0,0,138,26,0,0,0,0
BJ Penn,0,0,32,8,0,1,1,1
Caol Uno,0,2,35,11,0,4,0,3
Gan McGee,0,0,17,14,0,0,0,0
Phil Baroni,0,0,8,1,0,0,0,0
Matt Lindland,0,1,16,32,0,0,6,0
Sean Sherk,0,0,6,7,0,0,1,0
Murilo Bustamante,3,0,17,35,2,1,2,0
Ricco Rodriguez,8,0,19,6,1,0,3,1
BJ Penn,1,0,39,6,0,0,0,3
Phil Baroni,1,1,11,9,0,1,0,1
Caol Uno,6,4,19,13,1,1,3,1
Ivan Salaverry,6,0,43,5,8,1,2,1
Benji Radach,0,0,10,0,0,0,0,0
Robbie Lawler,0,1,64,55,0,1,6,0
Tito Ortiz,3,0,74,12,1,0,3,0
Chuck Liddell,0,0,13,10,0,0,0,0
Matt Hughes,3,0,22,1,0,0,1,0
Randy Couture,3,0,46,22,1,0,4,0
Kimo Leopoldo,2,0,1,0,1,0,1,0
Carlos Newton,1,0,0,1,1,0,1,0
Robbie Lawler,0,0,5,7,0,0,0,0
Andrei Arlovski,0,0,14,1,0,0,0,0
Vladimir Matyushenko,4,0,24,0,0,1,2,0
Vitor Belfort,0,0,9,1,0,0,0,0
Vernon White,5,0,45,18,0,1,1,2
Frank Mir,3,0,4,1,4,0,1,0
Yves Edwards,6,0,21,3,3,0,0,2
Falaniko Vitale,1,0,2,2,0,0,0,0
Phillip Miller,10,1,10,19,1,3,2,0
Pedro Rizzo,0,0,40,34,0,0,1,0
Tim Sylvia,0,0,12,7,0,1,0,0
Frank Mir,0,0,0,1,2,0,0,0
BJ Penn,10,3,67,64,0,1,5,6
Matt Lindland,4,0,40,44,2,0,4,1
Vladimir Matyushenko,1,1,24,12,0,0,5,0
Din Thomas,0,0,29,26,0,0,0,1
Gan McGee,0,0,9,1,0,1,0,0
Yves Edwards,2,0,51,31,1,0,0,2
Matt Hughes,10,2,44,19,1,1,5,3
Pete Spratt,1,3,19,15,0,0,1,2
Randy Couture,9,0,88,16,0,0,8,2
Andrei Arlovski,1,0,9,5,0,0,0,0
Tim Sylvia,0,0,10,7,0,0,0,0
Dave Strasser,1,1,60,24,0,0,1,2
Wesley Correira,0,0,22,6,0,0,0,0
Rich Franklin,0,0,16,6,0,0,0,0
Duane Ludwig,0,5,38,24,0,0,0,3
Hermes Franca,0,0,27,29,9,0,2,4
Jorge Rivera,0,0,80,35,0,0,0,0
Rich Franklin,0,1,37,4,0,1,0,1
Karo Parisyan,1,0,13,2,1,0,3,0
Josh Thomson,1,0,11,0,0,3,1,0
David Loiseau,1,0,16,2,0,0,1,0
Nick Diaz,4,0,17,9,2,0,6,0
Hermes Franca,2,2,13,32,1,0,2,1
Matt Hughes,2,0,0,0,2,1,1,1
Matt Lindland,3,2,35,3,1,0,1,0
Wesley Correira,0,0,13,11,0,0,0,0
Evan Tanner,2,0,28,17,0,0,1,0
Robbie Lawler,2,0,30,37,0,1,3,1
Pedro Rizzo,0,0,30,15,0,0,0,0
Vitor Belfort,0,0,1,1,0,0,0,0
Renato Verissimo,9,1,22,4,1,0,3,2
BJ Penn,5,0,17,4,1,0,0,0
Keith Rockel,3,0,5,1,1,0,1,0
Yves Edwards,0,0,33,5,0,0,0,0
Frank Mir,4,0,28,18,2,0,4,0
Lee Murray,0,1,0,2,2,0,0,1
Georges St-Pierre,0,2,46,1,0,4,6,0
Josh Thomson,0,1,40,22,0,1,2,2
Matt Serra,8,0,45,9,0,1,6,0
Chuck Liddell,0,0,23,13,0,0,0,0
Chris Lytle,2,0,34,27,1,0,2,0
Yves Edwards,1,1,21,8,1,2,0,4
Andrei Arlovski,0,0,51,4,0,0,0,0
Nick Diaz,0,0,22,16,0,0,0,0
Mike Kyle,0,0,13,0,1,3,0,0
Jonathan Wiezorek,1,0,10,20,0,0,1,0
Genki Sudo,0,1,6,13,4,0,1,1
Randy Couture,1,0,50,3,0,2,2,0
Joe Riggs,3,0,29,6,0,0,2,2
Chuck Liddell,0,0,31,13,0,0,1,0
David Terrell,0,0,5,0,0,0,0,0
Justin Eilers,0,0,4,7,0,0,0,0
Chris Lytle,2,0,12,8,2,0,0,1
Karo Parisyan,1,2,27,37,0,2,9,1
Yves Edwards,0,0,16,13,0,0,0,2
Ken Shamrock,0,0,12,4,0,0,0,0
Frank Trigg,0,0,20,1,0,2,0,0
Frank Mir,0,0,3,2,1,0,0,1
Matt Hughes,7,0,11,7,1,4,3,0
Evan Tanner,1,0,73,23,0,0,5,0
Matt Serra,16,0,14,8,0,2,6,0
Georges St-Pierre,0,0,24,5,0,0,0,0
Trevor Prangley,4,0,12,5,2,0,2,0
Tito Ortiz,3,0,45,11,0,0,2,0
Rich Franklin,5,0,41,22,1,0,3,0
Matt Hughes,3,0,4,6,2,0,2,1
Frank Trigg,1,0,33,4,0,2,1,0
Evan Tanner,0,0,6,3,1,0,0,1
Ivan Salaverry,1,0,9,4,1,0,0,0
Travis Lutter,0,0,1,10,0,0,0,0
Tito Ortiz,3,1,27,19,0,1,4,0
Pete Sell,0,1,16,17,1,0,1,4
Andrei Arlovski,0,0,5,2,2,0,0,0
Evan Tanner,1,0,19,4,0,1,0,2
Paul Buentello,0,0,22,7,0,0,0,0
Mike Kyle,1,0,10,3,0,0,1,0
David Loiseau,3,0,17,11,1,0,0,1
Karo Parisyan,6,1,29,7,2,2,7,0
Nick Diaz,0,0,13,3,1,2,0,0
Rich Franklin,0,0,23,0,0,2,0,1
Forrest Griffin,3,1,88,57,1,0,2,0
Diego Sanchez,1,0,14,2,0,0,1,0
Sam Hoger,1,0,22,21,0,0,0,1
Chris Leben,1,0,27,1,0,0,1,0
Josh Koscheck,3,0,14,1,0,1,2,0
Nate Quarry,0,0,36,10,0,0,0,0
Mike Swick,0,0,7,1,0,0,0,0
Alex Karalexis,0,0,6,1,0,1,0,0
Andrei Arlovski,0,0,33,5,0,0,0,0
Karo Parisyan,8,0,56,26,2,0,8,1
Rich Franklin,0,0,97,25,1,1,0,1
Forrest Griffin,3,0,3,1,1,0,1,0
Paul Buentello,1,0,20,18,1,0,0,0
Chuck Liddell,0,0,13,9,0,0,0,0
Renato Sobral,0,1,15,3,2,0,2,2
Nate Quarry,0,0,19,6,0,0,0,0
David Loiseau,0,1,20,0,0,1,0,1
Nick Diaz,0,0,25,2,0,0,0,0
Nate Marquardt,0,0,21,23,2,0,2,0
Chris Leben,1,1,26,26,0,0,1,1
Matt Hughes,4,3,13,13,1,1,1,0
Matt Lindland,2,2,11,0,1,0,2,1
Georges St-Pierre,14,1,64,16,4,0,5,1
Ivan Salaverry,0,0,2,6,1,0,0,1
Joe Doerksen,5,2,9,37,4,0,4,0
Stephan Bonnar,6,0,43,11,1,2,3,1
Nate Quarry,0,0,3,2,0,0,0,0
Josh Koscheck,2,0,0,0,1,0,1,0
Mike Swick,0,0,7,1,0,0,0,0
Kenny Florian,1,0,38,18,0,0,1,0
Mike van Arsdale,3,2,34,18,0,1,1,1
Drew Fickett,1,0,1,0,1,0,2,0
Chuck Liddell,0,0,64,31,0,0,0,0
Tim Sylvia,0,0,31,13,0,0,0,0
