winner,pass_stat_f1,pass_stat_f2,str_stat_f1,str_stat_f2,sub_stat_f1,sub_stat_f2,td_stat_f1,td_stat_f2
Jon Fitch,4,0,15,5,1,5,4,0
Brock Lesnar,2,0,47,4,0,0,1,0
BJ Penn,4,0,57,19,1,0,1,0
Anderson Silva,0,0,13,3,0,0,0,0
Spencer Fisher,1,3,62,24,0,0,1,3
Dan Hardy,0,2,28,19,0,3,1,2
Terry Etim,1,0,27,23,3,0,0,0
James Wilks,1,0,17,13,8,0,2,0
Chris Lytle,0,1,101,69,0,0,0,1
Ross Pearson,0,0,74,46,0,0,0,0
Georges St-Pierre,13,0,59,30,1,0,10,0
Dan Henderson,0,0,29,22,0,0,0,0
Yoshihiro Akiyama,2,0,55,76,0,0,3,0
Aaron Riley,1,0,50,28,0,0,2,0
Johny Hendricks,0,0,7,2,0,0,0,0
Ricardo Almeida,2,0,38,25,0,2,6,0
Dennis Siver,2,1,8,5,2,0,0,1
Paul Taylor,3,0,46,18,0,0,0,2
Paul Kelly,4,3,32,14,2,3,1,1
Joe Stevenson,3,1,27,6,1,4,8,1
Melvin Guillard,0,6,13,14,0,0,1,6
Brad Blackburn,0,0,66,39,1,0,0,1
Mark Coleman,3,1,20,26,0,3,3,0
Jim Miller,2,1,37,20,1,1,6,0
Jon Jones,0,0,25,11,1,0,0,0
Dong Hyun Kim,1,0,29,22,1,0,4,1
Tom Lawlor,0,0,0,1,1,0,0,0
Kurt Pellegrino,6,0,21,24,0,1,3,0
John Howard,3,3,19,11,1,1,5,2
Alessio Sakara,0,6,24,22,0,0,0,4
Matthew Riddle,9,0,47,5,2,1,2,0
Stefan Struve,1,0,4,16,7,0,0,0
John Hathaway,3,1,31,21,3,5,4,4
Tomasz Drwal,4,0,27,3,0,0,4,0
Nick Osipczak,1,0,14,8,1,0,1,0
Jason Dent,0,0,14,24,1,0,0,0
Shannon Gugerty,2,0,1,4,2,0,1,0
George Sotiropoulos,8,0,14,5,1,0,3,0
Jesse Lennox,0,1,37,43,0,1,1,1
Lyoto Machida,0,0,35,80,0,0,0,0
Cain Velasquez,3,0,62,3,0,0,5,0
Gleison Tibau,3,0,22,24,2,0,11,0
Joe Stevenson,2,0,28,14,0,0,2,0
Anthony Johnson,0,0,10,0,0,0,0,0
Ryan Bader,1,0,52,25,0,1,3,0
Pat Barry,2,0,29,29,0,0,0,0
Chael Sonnen,2,0,91,25,0,1,4,0
Jorge Rivera,2,1,66,23,0,0,0,1
Kyle Kingsbury,3,1,25,31,0,0,2,1
Stefan Struve,1,0,12,8,3,1,1,1
Roy Nelson,2,0,8,12,0,0,1,0
Matt Hamill,0,2,5,44,0,0,0,1
Kevin Ferguson,5,0,27,43,1,0,4,0
Frankie Edgar,1,0,25,7,1,0,0,3
Matt Mitrione,0,2,14,10,0,1,0,3
James McSweeney,8,2,58,16,2,1,1,0
Jon Madsen,0,0,26,17,0,0,0,0
Brian Stann,1,3,36,15,0,2,0,7
Forrest Griffin,1,1,70,24,0,0,0,3
Josh Koscheck,3,0,19,16,1,0,2,0
John Howard,2,4,14,8,0,2,2,2
Mark Bocek,1,0,6,3,1,0,2,0
Paulo Thiago,7,2,34,16,0,1,2,1
Rogerio Nogueira,0,0,14,3,0,0,0,0
Amir Sadollah,0,0,134,51,0,0,0,1
Ben Saunders,0,0,22,8,0,0,0,0
Kendall Grove,0,2,3,5,1,1,1,3
Brian Foster,4,0,28,6,0,1,2,1
Caol Uno,2,1,28,22,0,2,2,5
Rashad Evans,4,0,12,31,0,0,8,0
Paul Daley,0,0,8,4,0,0,0,0
Sam Stout,1,3,94,26,0,2,0,4
Jim Miller,2,0,6,2,1,0,0,0
Junior Dos Santos,0,0,14,3,0,0,0,0
George Sotiropoulos,7,0,33,25,2,0,3,0
Martin Kampmann,1,0,14,13,1,0,0,0
Cole Miller,0,1,15,10,1,0,0,1
Mark Munoz,2,0,16,9,0,1,1,0
Jake Ellenberger,2,0,15,5,0,1,2,0
Rafaello Oliveira,13,0,21,1,4,4,6,1
Randy Couture,0,1,39,27,0,0,1,1
Dan Hardy,0,0,55,38,0,1,1,0
Michael Bisping,0,6,29,11,1,0,3,0
Matt Brown,2,2,45,19,3,3,0,1
Ross Pearson,0,0,59,15,0,0,0,0
John Hathaway,3,0,80,5,0,1,5,0
Terry Etim,0,0,17,11,1,0,0,1
Nick Osipczak,4,1,46,28,1,0,0,4
Dennis Siver,0,1,38,12,0,0,0,1
BJ Penn,0,0,70,8,0,0,0,0
Frank Mir,0,0,2,0,1,0,0,0
Alexander Gustafsson,0,0,6,6,0,0,0,0
Andre Winner,0,0,14,11,0,0,0,0
Jon Fitch,1,0,55,54,0,0,4,1
Kenny Florian,2,0,22,13,1,0,1,0
Stefan Struve,1,0,54,37,2,0,1,0
Alan Belcher,0,0,21,29,0,0,0,0
Matt Wiman,2,0,55,20,0,3,2,1
Johny Hendricks,6,0,49,16,4,0,7,1
Rousimar Palhares,0,1,6,8,3,2,1,2
DaMarques Johnson,0,2,10,17,1,1,0,1
TJ Grant,3,0,28,14,0,0,1,0
Cain Velasquez,0,0,23,3,0,0,0,0
Wanderlei Silva,1,1,42,32,1,0,1,5
George Sotiropoulos,5,0,20,7,3,2,2,3
Ryan Bader,2,0,29,15,0,0,3,0
Mirko Cro Cop,0,0,29,9,1,0,0,0
Krzysztof Soszynski,0,1,48,36,0,0,0,2
Chris Lytle,0,0,2,5,1,0,0,1
CB Dollaway,1,1,25,20,1,3,5,1
James Te Huna,3,0,22,25,1,0,5,2
Georges St-Pierre,26,0,59,4,6,0,11,0
Shane Carwin,0,0,49,3,0,0,0,0
Kurt Pellegrino,8,1,16,8,2,2,1,1
Jon Fitch,3,0,72,17,0,0,2,0
Jim Miller,2,7,23,17,3,1,1,4
Nate Diaz,1,0,34,3,0,0,0,0
Ricardo Almeida,3,0,15,6,1,0,5,0
Rousimar Palhares,0,0,0,0,1,0,0,0
Jared Hamman,5,1,60,34,0,1,2,11
Matthew Riddle,1,0,47,21,0,0,4,0
Jon Jones,0,0,11,5,0,0,2,0
Junior Dos Santos,0,0,20,9,0,0,0,1
Cheick Kongo,2,0,53,3,0,0,9,0
Alessio Sakara,0,0,13,6,0,0,0,0
Clay Guida,6,0,14,1,1,3,2,0
Vladimir Matyushenko,0,0,28,19,0,0,2,0
Darren Elkins,0,0,0,1,0,0,1,0
John Howard,0,1,6,7,0,1,1,1
Brendan Schaub,0,0,25,2,0,0,0,0
Mike Pierce,6,0,39,17,0,0,6,0
Jason Brilz,6,1,70,27,1,1,3,2
Randy Couture,2,0,44,10,1,0,1,0
Chael Sonnen,4,1,39,11,0,2,6,0
Paulo Thiago,1,0,9,7,1,0,0,1
Gray Maynard,0,0,41,70,0,0,0,0
Demian Maia,1,0,30,20,0,0,4,0
Matt Serra,0,0,12,6,0,0,0,0
Mac Danzig,8,0,62,30,0,1,3,0
Melvin Guillard,0,5,34,6,0,1,0,5
Evan Dunham,4,0,22,26,1,2,3,0
Aaron Simpson,3,0,36,52,0,2,2,1
Amir Sadollah,4,0,87,37,0,0,2,0
Chris Leben,8,0,60,15,2,0,2,0
Rob Emerson,1,0,26,19,0,2,7,0
Phil Davis,15,0,48,5,1,0,3,0
Chris Tuchscherer,1,3,24,34,1,1,1,1
Joey Beltran,0,2,22,15,0,0,0,1
Rick Story,3,2,47,22,1,1,2,1
Thiago Tavares,0,1,55,71,1,1,1,4
Rory MacDonald,1,0,8,6,2,0,2,0
Rafael Dos Anjos,4,0,42,21,2,0,5,0
Gerald Harris,1,0,21,7,0,0,1,1
Nick Catone,0,0,32,32,0,0,2,0
Kenny Florian,3,0,51,20,1,0,1,0
Roy Nelson,0,0,9,2,0,0,0,0
Jorge Rivera,0,0,29,19,0,0,0,0
Ross Pearson,2,1,54,39,0,0,1,2
Andre Winner,0,0,61,52,0,0,0,0
Jacob Volkmann,1,1,24,20,0,0,5,3
Nik Lentz,10,0,46,24,1,1,4,0
Gleison Tibau,1,0,22,6,0,0,1,0
Yushin Okami,3,0,50,8,0,0,0,0
Gerald Harris,0,0,17,16,0,0,0,0
Charlie Brenneman,2,1,33,12,0,3,6,0
Anderson Silva,0,0,61,10,0,0,0,0
Frankie Edgar,0,0,61,71,0,0,1,0
Matt Hughes,0,0,70,34,0,0,0,0
Rafael Dos Anjos,5,0,25,7,1,1,2,0
Mark Munoz,0,1,25,9,0,3,1,0
Phil Davis,1,0,14,0,1,0,1,0
Rick Story,2,0,31,28,1,1,3,2
DaMarques Johnson,1,2,34,59,1,2,0,4
Paul Kelly,4,3,47,4,3,2,0,1
Mauricio Rua,1,2,17,9,0,0,0,2
Josh Koscheck,7,0,19,11,1,0,4,0
Jon Madsen,0,0,32,20,0,0,1,0
Jeremy Stephens,0,0,55,70,0,1,3,0
Matt Mitrione,2,1,44,5,4,0,0,2
Alan Belcher,3,1,27,22,1,1,1,2
Joe Doerksen,1,0,44,42,1,0,0,0
Marcus Davis,1,0,11,5,1,0,0,4
Johny Hendricks,3,0,53,67,0,0,8,0
Joey Beltran,0,1,97,60,0,0,0,2
Mike Guymon,10,3,59,7,2,2,3,1
John Salter,1,0,3,5,0,0,1,0
Rashad Evans,2,1,29,17,0,0,3,0
Michael Bisping,0,0,76,50,0,0,0,1
Mike Russow,0,0,14,51,0,0,0,0
Rogerio Nogueira,2,5,23,18,1,3,1,3
John Hathaway,0,0,84,24,0,0,0,1
Dong Hyun Kim,7,0,30,10,0,0,6,0
Efrain Escudero,0,0,64,17,0,0,0,0
Melvin Guillard,0,0,14,1,0,0,0,1
Cyrille Diabate,0,1,17,4,0,0,0,0
Aaron Riley,4,0,46,37,0,0,3,1
Ryan Jensen,0,1,3,3,1,1,0,1
Court McGee,5,0,22,19,1,0,5,0
Matt Hamill,0,0,77,65,0,0,2,0
Chris Leben,0,1,42,43,0,1,0,2
Dennis Siver,0,0,77,52,0,0,0,0
Rich Attonito,1,0,24,29,0,0,1,0
John Gunderson,7,1,31,2,0,3,4,1
Brad Tavares,4,0,18,22,0,3,3,0
Rich Franklin,0,0,24,17,0,0,0,1
Mirko Cro Cop,3,0,42,25,2,0,0,0
Kyle Noke,0,0,50,9,0,0,0,0
Chris Camozzi,0,1,62,29,0,1,0,2
Travis Browne,2,0,19,6,1,0,0,0
Martin Kampmann,4,1,24,13,3,1,1,1
Ben Rothwell,14,1,44,33,2,2,5,0
Carlos Condit,5,1,72,29,1,0,0,3
Evan Dunham,5,0,28,26,1,1,3,0
Matt Wiman,1,0,4,4,2,0,0,1
Mario Miranda,5,0,42,2,0,0,3,0
James Wilks,1,1,38,15,1,2,1,1
Claude Patrick,3,0,13,5,2,0,1,0
Mike Pyle,2,0,49,37,3,0,0,1
Brock Lesnar,2,2,8,40,1,0,1,0
Chris Leben,0,4,46,27,4,1,0,5
Chris Lytle,1,0,19,25,4,1,0,1
Jon Jones,2,0,15,0,0,0,1,0
Stephan Bonnar,1,0,48,32,0,0,2,0
George Sotiropoulos,4,1,48,39,0,0,1,3
Brendan Schaub,0,0,10,1,0,0,0,0
Yushin Okami,0,0,22,16,0,0,1,1
Jake Ellenberger,2,0,38,17,0,1,5,0
Takanori Gomi,0,0,5,3,0,0,0,0
Ricardo Romero,5,0,19,30,2,2,1,0
Kendall Grove,0,2,28,14,1,1,1,3
Gerald Harris,0,0,10,20,0,0,5,0
Jacob Volkmann,11,3,32,24,2,2,6,0
Matthew Riddle,5,0,42,9,0,0,3,0
Igor Pokrajac,2,0,18,11,1,0,2,0
Daniel Roberts,6,1,5,21,2,0,6,1
Jon Madsen,4,0,37,16,0,1,3,0
Brian Stann,0,4,43,5,2,2,0,5
Charles Oliveira,0,0,3,0,2,0,0,1
Rob Kimmons,2,0,38,85,2,0,4,0
Frankie Edgar,1,0,94,36,0,0,3,2
Randy Couture,1,0,8,0,2,0,1,0
Demian Maia,6,0,30,14,1,0,5,0
Nate Marquardt,0,1,13,1,1,1,0,0
Anderson Silva,1,6,29,89,3,1,1,3
Jon Fitch,4,1,29,22,0,0,9,0
Gray Maynard,1,0,15,14,0,0,5,0
Nate Diaz,1,0,94,52,1,0,1,1
Joe Lauzon,5,0,19,1,1,0,2,0
Charles Oliveira,1,2,35,13,1,0,2,0
Jim Miller,0,0,29,23,2,0,0,4
Cole Miller,1,0,24,26,1,0,1,0
Clay Guida,3,0,19,17,0,0,2,1
Matt Hughes,0,0,2,10,1,0,0,0
Junior Dos Santos,0,0,130,40,0,0,1,0
Nik Lentz,2,0,23,20,1,0,7,0
Dan Miller,0,1,23,21,2,0,0,2
Greg Soto,9,0,70,29,1,1,3,0
Yves Edwards,3,0,54,15,1,2,1,0
Kyle Kingsbury,0,0,79,88,0,0,9,0
David Branch,3,0,15,10,0,0,3,0
Rick Story,1,0,75,7,0,2,3,0
Phil Davis,13,0,59,2,0,0,3,0
Johny Hendricks,0,1,28,9,0,0,0,2
Mike Pierce,4,0,31,4,2,0,4,0
Rich Attonito,0,1,25,28,0,0,0,2
TJ Waldburger,12,0,37,13,7,6,6,2
Brian Foster,0,0,17,1,0,0,0,0
Tim Boetsch,1,0,60,28,1,0,3,0
Stefan Struve,0,3,11,36,2,1,0,1
Dennis Hallman,4,0,28,30,0,1,3,0
Michael Bisping,0,0,118,50,0,0,0,0
Carlos Condit,0,0,26,9,0,0,0,0
Mike Pyle,4,0,46,18,1,0,5,0
Cheick Kongo,0,1,58,22,0,0,0,2
Claude Patrick,8,0,23,12,0,0,3,0
Alexander Gustafsson,7,0,28,11,3,0,2,0
Rob Broughton,3,5,67,47,6,0,0,5
Frank Mir,0,0,25,19,0,0,0,0
Ryan Bader,0,0,42,28,0,0,5,0
Chris Lytle,0,0,153,124,0,0,0,0
Sean Sherk,4,1,38,75,0,7,5,0
Melvin Guillard,0,0,73,62,0,0,0,0
CB Dollaway,0,0,1,1,2,0,0,0
Paul Sass,0,0,2,3,4,0,0,0
Spencer Fisher,2,1,68,45,2,2,1,1
Fabio Maldonado,4,0,89,49,2,0,0,0
Matt Mitrione,0,3,76,52,0,0,0,1
Thiago Tavares,1,0,7,3,1,0,2,0
Waylon Lowe,2,0,26,23,0,0,5,0
TJ Grant,11,0,17,12,1,1,4,0
Sean McCorkle,0,0,0,2,2,0,0,1
Rampage Jackson,0,3,16,33,0,1,1,1
BJ Penn,0,0,7,3,0,0,0,0
Maiquel Falcao,3,0,25,8,3,0,1,2
Phil Davis,3,0,33,7,2,1,2,0
George Sotiropoulos,3,1,19,16,2,0,3,0
Brian Foster,2,2,25,13,2,1,3,1
Mark Munoz,0,0,76,43,0,0,1,5
Dennis Hallman,0,0,10,2,0,0,0,0
Edson Barboza,1,0,43,12,0,1,2,0
Paul Kelly,1,2,44,32,0,0,1,1
Nik Lentz,2,0,34,31,3,1,4,8
Yushin Okami,3,1,25,21,0,2,1,3
Dennis Siver,1,0,30,13,1,0,0,0
Amir Sadollah,0,0,90,34,0,0,0,0
Krzysztof Soszynski,1,1,57,23,3,0,0,2
Duane Ludwig,0,1,99,60,0,0,0,2
Vladimir Matyushenko,3,0,19,6,0,0,2,0
Cain Velasquez,1,0,31,9,0,0,1,1
Pascal Krauss,6,0,50,33,2,2,3,3
Kyle Noke,6,2,25,16,2,0,3,0
Karlos Vemola,0,0,18,3,0,2,2,0
Jake Shields,10,1,25,35,0,3,4,0
Diego Sanchez,7,1,48,36,0,4,2,1
Matt Hamill,2,0,41,37,0,0,3,0
Carlos Eduardo Rocha,1,2,2,3,1,0,0,2
Brendan Schaub,0,0,53,37,0,1,0,0
Court McGee,2,1,60,36,1,0,2,1
Tom Lawlor,4,0,49,6,3,0,5,0
Daniel Roberts,0,0,2,0,1,0,1,0
Sam Stout,1,0,107,140,0,0,1,0
Chris Camozzi,1,2,74,51,0,0,0,3
Georges St-Pierre,0,0,110,16,0,0,4,1
Jon Madsen,0,0,18,0,0,0,1,0
Jonathan Brookins,4,0,32,30,0,0,3,0
Stephan Bonnar,7,0,44,23,1,0,3,0
Stefan Struve,1,2,11,4,0,2,0,1
Jim Miller,0,0,1,5,2,0,1,0
Mac Danzig,0,0,9,6,0,0,0,0
Demian Maia,6,0,42,18,1,0,5,0
Rick Story,0,1,55,24,1,1,2,6
Leonard Garcia,0,1,64,102,0,1,2,0
Cody McKenzie,0,0,0,0,2,0,1,1
Thiago Alves,2,0,73,37,0,0,2,0
Dan Miller,2,0,18,12,1,2,5,0
Mark Bocek,3,0,9,0,1,0,1,0
Jesse Bongfeldt,7,4,53,13,0,0,2,5
Ian Loveland,0,0,44,21,0,0,0,0
Kyle Watson,0,0,72,36,0,0,0,0
Nick Pace,3,0,18,16,1,0,7,1
Pablo Garza,0,0,3,1,0,0,0,0
Sean Pierson,2,0,112,35,1,1,1,0
Ricardo Almeida,9,0,48,6,0,0,6,0
John Makdessi,0,0,74,19,0,0,0,1
David Branch,7,0,16,6,0,0,4,0
BJ Penn,2,0,12,47,1,0,2,4
Michael Bisping,0,0,50,8,0,0,3,0
Dennis Siver,0,0,74,38,0,0,0,0
Brian Ebersole,0,1,32,24,1,5,4,0
Kyle Noke,2,0,4,4,1,0,1,0
Ross Pearson,1,0,59,38,0,0,3,1
Alexander Gustafsson,2,1,4,6,2,0,1,1
Nick Ring,0,3,41,28,0,0,0,6
Anthony Perosh,3,0,7,8,1,0,1,0
Tiequan Zhang,0,0,4,2,1,0,0,0
Mark Hunt,0,1,14,9,0,0,0,1
Curt Warburton,4,0,18,30,0,0,4,0
Phil Davis,3,0,42,8,0,0,4,0
Anthony Johnson,3,0,20,2,2,3,4,0
Amir Sadollah,3,3,62,27,0,0,2,2
Chan Sung Jung,4,0,30,15,1,0,1,0
Mike Russow,0,0,14,27,0,0,3,0
Mackens Semerzier,2,0,9,2,1,0,3,0
John Hathaway,3,4,43,48,4,0,3,3
Michael McDonald,2,1,51,45,3,0,5,0
Jon Jones,4,0,75,9,0,0,3,0
Urijah Faber,0,0,49,11,0,0,2,1
Christian Morecraft,3,0,22,8,2,0,1,1
Johny Hendricks,0,0,7,3,0,0,0,0
Aaron Simpson,4,0,59,14,0,0,10,0
Nik Lentz,0,2,51,46,1,1,0,4
Jim Miller,1,0,43,26,2,0,1,1
Nate Marquardt,0,0,47,10,0,2,3,2
Brendan Schaub,1,0,40,21,0,0,4,0
Luiz Cane,0,0,29,2,0,0,0,0
Diego Sanchez,1,0,51,77,0,0,1,0
Mark Munoz,0,0,4,2,0,0,0,1
Edson Barboza,0,0,46,72,0,0,2,1
Mike Pyle,0,0,36,48,1,0,1,1
Gleison Tibau,1,1,44,47,0,0,2,1
Chris Weidman,4,0,45,27,0,0,5,0
Brian Bowles,0,0,19,17,1,0,1,0
Cyrille Diabate,0,1,146,28,0,0,1,1
Danny Castillo,1,2,55,12,0,4,5,2
Joseph Benavidez,5,0,48,45,0,0,5,0
Nick Catone,4,0,31,23,0,0,3,0
Erik Koch,0,0,4,9,0,0,0,0
Georges St-Pierre,0,0,85,78,0,0,2,0
Jose Aldo,1,1,94,71,1,0,5,1
Shane Roller,0,0,26,22,0,0,0,1
Takeya Mizugaki,3,0,43,67,0,0,4,0
Dongi Yang,9,0,57,1,2,0,1,1
Lyoto Machida,0,0,15,5,0,0,0,0
Vladimir Matyushenko,0,0,8,1,0,0,0,0
Benson Henderson,0,1,56,11,0,2,3,4
Rousimar Palhares,0,0,2,6,3,0,0,1
Igor Pokrajac,0,0,17,15,0,0,0,0
Rory MacDonald,1,0,42,26,0,0,7,0
Jake Ellenberger,0,0,9,3,0,0,1,0
Claude Patrick,2,1,29,6,1,1,4,1
Ivan Menjivar,0,0,8,5,0,0,0,0
Jason MacDonald,1,0,0,0,1,1,0,0
John Makdessi,0,0,50,25,0,0,0,0
Pablo Garza,0,0,26,16,1,0,0,0
Rampage Jackson,0,0,55,32,0,0,0,0
Frank Mir,6,0,46,21,0,0,6,0
Travis Browne,1,0,17,10,0,2,1,0
Rick Story,1,1,62,41,0,0,4,1
Brian Stann,0,0,47,14,0,0,0,0
Demetrious Johnson,3,5,13,10,0,3,5,0
Tim Boetsch,6,0,17,20,0,0,7,1
Gleison Tibau,4,0,19,12,2,0,3,0
Michael McDonald,2,0,32,44,0,0,1,1
Renan Barao,1,0,46,29,0,0,6,0
Junior Dos Santos,1,0,88,20,0,0,2,1
Kenny Florian,3,0,42,31,1,0,4,2
Mark Munoz,1,1,44,32,1,2,3,0
Dave Herman,0,2,55,34,0,0,1,1
Donald Cerrone,0,0,86,46,0,0,0,1
Sam Stout,0,0,13,14,0,0,0,1
Chris Weidman,5,0,7,5,1,0,1,0
Krzysztof Soszynski,1,1,66,17,0,0,0,2
Nick Ring,7,1,58,30,1,0,5,0
Dustin Poirier,2,0,77,57,0,0,5,0
Joey Beltran,1,0,88,73,0,0,1,0
Darren Elkins,0,0,78,65,0,0,1,1
Tony Ferguson,1,0,21,12,0,0,2,0
Clay Guida,4,2,19,14,0,1,5,0
Ed Herman,0,0,11,11,0,0,0,0
Kyle Kingsbury,2,0,95,78,0,2,5,2
Chris Cope,0,0,66,47,0,0,0,0
Jeremy Stephens,3,0,55,32,3,1,6,0
George Roop,0,3,91,11,0,0,0,4
Shamar Bailey,9,0,33,19,0,0,5,0
Clay Harvison,2,5,57,42,2,0,1,7
Scott Jorgensen,0,0,15,18,0,0,1,0
Reuben Duran,5,0,42,22,2,3,2,0
Cheick Kongo,0,0,10,8,0,0,0,0
Charlie Brenneman,5,1,11,17,0,4,5,2
Matt Brown,1,1,38,20,3,0,3,5
Matt Mitrione,0,0,37,17,0,0,0,2
Tyson Griffin,0,1,67,32,0,0,0,2
Javier Vazquez,4,0,62,27,1,1,3,0
Joe Lauzon,0,0,12,5,1,0,0,0
Rich Attonito,2,1,66,23,0,1,1,1
Nik Lentz,1,4,14,31,2,3,2,1
Ricardo Lamas,1,0,16,6,0,0,1,0
Dominick Cruz,0,0,90,50,0,0,4,1
Chris Leben,0,0,9,3,0,0,0,0
Dennis Siver,1,1,31,26,0,2,1,5
Tito Ortiz,0,0,6,4,1,0,0,0
Carlos Condit,1,0,8,1,1,0,0,1
Michael Johnson,0,0,27,17,0,0,1,0
Melvin Guillard,0,0,17,1,0,0,0,0
Rafael Dos Anjos,0,0,2,2,0,0,0,0
Brian Bowles,2,0,29,14,0,0,1,0
Aaron Simpson,0,0,43,13,2,0,2,1
Anthony Njokuani,0,0,116,15,0,0,2,0
Jeff Hougland,0,1,61,31,4,2,1,0
Chris Lytle,1,0,127,61,1,0,0,1
Benson Henderson,6,0,65,14,2,6,7,0
Donald Cerrone,0,0,30,10,0,0,0,0
Duane Ludwig,0,0,123,95,0,0,1,0
Jared Hamman,6,1,53,19,0,1,0,3
Joseph Benavidez,0,0,66,24,0,0,0,0
Ed Herman,0,1,2,12,3,0,1,1
Ronny Markes,5,0,40,8,0,1,6,0
Jimy Hettes,6,0,2,13,2,0,5,0
Cole Miller,1,0,32,28,2,0,0,0
Jacob Volkmann,7,0,6,22,6,0,3,1
Rashad Evans,4,0,48,5,0,1,1,1
Vitor Belfort,0,0,12,1,0,0,0,0
Brian Ebersole,1,1,19,0,0,1,0,1
Costas Philippou,2,0,35,25,1,0,2,1
Edwin Figueroa,2,1,23,1,1,0,0,1
Rory MacDonald,0,1,24,3,2,0,0,2
Alexander Gustafsson,1,0,37,13,0,0,0,0
Chad Mendes,1,0,35,15,0,0,5,0
Ivan Menjivar,0,3,61,31,0,1,0,2
Johny Hendricks,0,0,54,37,0,0,1,1
Mike Brown,1,0,60,38,0,0,5,0
Rafael Natal,0,3,43,13,0,0,0,3
Jake Ellenberger,0,0,9,1,0,0,0,0
Court McGee,3,0,62,50,1,0,2,1
Erik Koch,0,0,40,23,0,0,0,1
Alan Belcher,2,0,25,2,0,0,0,0
Vagner Rocha,5,0,18,15,4,1,2,0
Evan Dunham,0,0,92,35,1,0,0,0
Lance Benoist,3,3,39,26,0,0,1,4
Ken Stone,2,0,7,1,1,0,2,0
Seth Baczynski,2,0,41,12,1,0,0,0
TJ Waldburger,3,0,4,0,2,1,3,0
Robert Peralta,0,0,80,51,0,0,1,2
Justin Edwards,2,4,41,42,2,0,2,3
Dominick Cruz,8,0,60,63,1,0,10,1
Stefan Struve,0,0,31,30,1,0,0,0
Anthony Johnson,1,0,16,1,0,0,0,0
Matt Wiman,1,2,93,66,1,1,2,2
Yves Edwards,1,0,42,22,0,0,0,0
Frankie Edgar,0,0,61,42,0,0,0,0
Jose Aldo,2,0,51,40,0,0,0,1
Mark Munoz,3,0,39,12,0,2,5,2
Renan Barao,1,0,37,10,1,0,0,0
Nick Diaz,0,1,178,88,0,0,0,1
Cheick Kongo,1,0,44,21,0,0,2,0
Paul Sass,0,0,2,8,3,0,0,0
Mike Easton,0,0,31,17,0,0,0,0
TJ Grant,3,1,24,10,3,2,2,1
Chael Sonnen,8,0,28,2,1,0,4,0
Nam Phan,0,0,174,100,0,0,1,0
Joe Lauzon,1,0,2,3,1,0,0,0
Thiago Alves,2,0,25,14,1,0,0,0
Anthony Perosh,5,0,17,17,3,0,2,0
Terry Etim,0,0,5,0,1,0,0,0
Roy Nelson,2,0,32,30,0,0,2,0
Scott Jorgensen,2,0,42,41,0,1,5,0
Hatsu Hioki,3,0,24,35,0,0,2,2
Josh Neer,0,0,93,41,1,0,0,0
Walel Watson,0,0,9,0,0,0,0,0
Demian Maia,5,0,24,18,0,0,4,0
Anthony Pettis,2,0,21,17,0,0,6,3
Stipe Miocic,7,0,68,52,0,0,4,1
John Maguire,7,0,27,28,2,1,6,0
Philip De Fries,10,2,14,29,0,2,3,0
Michihiro Omigawa,5,0,25,32,3,0,4,2
Donald Cerrone,1,0,9,12,1,0,0,0
Bart Palaszewski,0,0,17,6,0,0,0,0
Brandon Vera,0,1,33,21,0,2,1,1
Darren Elkins,10,0,27,2,3,3,1,0
Aaron Simpson,0,0,58,14,0,0,0,0
Mike Massenzio,0,0,78,56,0,1,1,0
Che Mills,0,0,11,1,0,0,0,0
Chris Cariaso,8,0,52,29,1,2,2,4
Ramsey Nijem,7,0,59,6,4,0,8,0
Francis Carmont,1,0,51,22,0,1,3,0
Clifford Starks,3,0,26,18,0,0,3,0
Jon Jones,3,0,61,16,2,0,2,0
Josh Koscheck,0,0,26,14,0,0,0,0
Mark Hunt,4,2,47,19,1,0,2,2
Travis Browne,4,0,45,22,0,1,3,0
Nate Diaz,1,0,36,4,3,0,0,0
Tony Ferguson,0,0,31,11,0,0,0,0
Tim Boetsch,3,0,46,29,2,0,4,0
Junior Assuncao,2,0,63,10,0,2,3,0
Takeya Mizugaki,1,0,70,29,0,0,1,0
James Te Huna,0,0,5,0,0,0,0,0
Dan Henderson,2,8,77,96,1,1,1,5
Wanderlei Silva,0,0,43,32,0,0,0,0
Urijah Faber,2,0,36,13,1,0,1,0
Junior Dos Santos,0,0,8,7,0,0,0,0
Martin Kampmann,2,0,38,61,1,0,3,1
Stephan Bonnar,6,0,36,31,1,0,4,0
Benson Henderson,3,1,40,11,0,4,2,2
Dustin Poirier,1,0,17,14,1,1,1,0
Ricardo Lamas,1,1,9,17,1,1,2,1
Ryan Bader,0,0,6,1,0,0,0,0
Michael McDonald,0,0,12,6,0,0,0,0
Chris Weidman,1,0,3,2,1,0,1,0
Michael Bisping,0,0,102,27,0,0,0,1
Diego Brandao,1,0,19,25,1,0,1,1
John Dodson,0,0,7,2,0,0,0,0
Tony Ferguson,0,0,61,45,1,0,1,0
Jon Jones,0,0,24,13,1,0,1,0
Frank Mir,2,0,6,21,1,1,1,0
DaMarques Johnson,0,0,6,6,0,0,0,0
Darren Uyenoyama,3,0,15,15,1,0,2,1
Mackens Semerzier,0,0,50,39,0,0,1,0
Alex Caceres,0,1,102,24,1,0,0,2
Gleison Tibau,0,0,56,25,0,0,2,0
Miguel Torres,0,1,64,31,0,0,0,1
