event_date,fighter1,fighter2,pass_stat_f1,pass_stat_f2,str_stat_f1,str_stat_f2,sub_stat_f1,sub_stat_f2,td_stat_f1,td_stat_f2,winner
March 11 1994,Royce Gracie,Minoki Ichihara,1,0,2,3,2,0,1,0,Royce Gracie
March 11 1994,Jason DeLucia,Scott Baker,4,3,3,0,5,0,0,1,Jason DeLucia
March 11 1994,Remco Pardoel,Alberta Cerra Leon,2,0,4,1,1,0,1,0,Remco Pardoel
March 11 1994,Orlando Wiet,Robert Lucarelli,0,0,8,2,0,1,0,1,Orlando Wiet
March 11 1994,Frank Hamaker,Thaddeus Luster,4,0,2,0,3,0,1,0,Frank Hamaker
March 11 1994,Johnny Rhodes,David Levicki,1,0,11,4,0,0,1,0,Johnny Rhodes
March 11 1994,Patrick Smith,Ray Wizard,0,0,1,1,1,0,0,0,Patrick Smith
March 11 1994,Scott Morris,Sean Daugherty,1,0,1,0,1,0,1,0,Scott Morris
December 01 2018,Junior Dos Santos,Tai Tuivasa,2,0,26,16,0,0,0,0,Junior Dos Santos
December 01 2018,Mauricio Rua,Tyson Pedro,3,0,30,31,0,1,3,0,Mauricio Rua
December 01 2018,Justin Willis,Mark Hunt,0,0,59,19,0,0,0,0,Justin Willis
December 01 2018,Anthony Rocco Martin,Jake Matthews,2,0,25,24,1,1,0,0,Anthony Rocco Martin
December 01 2018,Sodiq Yusuff,Suman Mokhtarian,0,0,23,5,0,0,0,0,Sodiq Yusuff
December 01 2018,Jimmy Crute,Paul Craig,9,3,17,12,4,0,1,3,Jimmy Crute
December 01 2018,Aleksei Kunchenko,Yushin Okami,0,0,72,10,0,0,0,0,Aleksei Kunchenko
December 01 2018,Wilson Reis,Ben Nguyen,1,0,32,39,1,0,7,0,Wilson Reis
December 01 2018,Keita Nakamura,Salim Touahri,0,0,41,34,0,0,0,0,Keita Nakamura
December 01 2018,Kai Kara-France,Elias Garcia,5,0,86,16,0,2,0,1,Kai Kara-France
December 01 2018,Christos Giagos,Mizuto Hirota,0,2,31,19,0,1,5,0,Christos Giagos
December 01 2018,Damir Ismagulov,Alex Gorgees,4,0,34,10,0,0,5,0,Damir Ismagulov
November 12 1993,Royce Gracie,Gerard Gordeau,2,0,1,0,1,0,1,0,Royce Gracie
November 12 1993,Jason DeLucia,Trent Jenkins,1,0,3,1,1,0,1,0,Jason DeLucia
November 12 1993,Royce Gracie,Ken Shamrock,2,0,0,0,1,0,0,0,Royce Gracie
November 12 1993,Gerard Gordeau,Kevin Rosier,0,0,11,0,0,0,0,0,Gerard Gordeau
November 12 1993,Ken Shamrock,Patrick Smith,0,0,1,4,2,0,1,0,Ken Shamrock
November 12 1993,Royce Gracie,Art Jimmerson,2,0,0,0,0,0,1,0,Royce Gracie
November 12 1993,Kevin Rosier,Zane Frazier,0,0,15,12,0,0,0,0,Kevin Rosier
November 12 1993,Gerard Gordeau,Teila Tuli,0,0,3,0,0,0,0,0,Gerard Gordeau
December 16 1994,Royce Gracie,Dan Severn,0,0,0,4,3,0,0,1,Royce Gracie
December 16 1994,Dan Severn,Marcus Bossett,2,0,0,1,1,0,1,0,Dan Severn
